id;partida_id;clube;cartao;atleta;posicao;minuto
13495;7732;Fortaleza;Amarelo;Juninho Capixaba;Meio-campo;50
13496;7733;Palmeiras;Amarelo;Gabriel Menino;Meio-campo;37
13497;7733;Atletico-MG;Amarelo;Ignacio Fern†ndez;Meio-campo;37
13498;7734;Bragantino;Amarelo;JosÇ Hurtado;Zagueiro;90+8
13499;7734;Bragantino;Amarelo;Kevin Lom¢naco;Zagueiro;27
13500;7734;Internacional;Amarelo;Bruno MÇndez;Zagueiro;90+5
13501;7735;Botafogo-RJ;Amarelo;V°ctor Cuesta;Zagueiro;24
13502;7735;Goias;Amarelo;êlvis Vieira Ara£jo;Meio-campo;13
13503;7735;Botafogo-RJ;Amarelo;Lucas Fernandes da Silva;Meio-campo;77
13504;7735;Goias;Amarelo;Caio Vin°cius da Conceiá∆o;Meio-campo;35
13505;7736;Corinthians;Amarelo;Du Queiroz;Meio-campo;43
13506;7736;Cuiaba;Vermelho;Vald°via;Meio-campo;90+3
13507;7736;Cuiaba;Amarelo;Jo∆o Carlos Heidemann;Goleiro;90+1
13508;7736;Corinthians;Amarelo;Raul Gustavo Pereira Bicalho;Zagueiro;41
13509;7739;Avai;Vermelho;Diego Matos;Zagueiro;90+6
13510;7737;America-MG;Amarelo;Henrique Almeida;Atacante;76
13511;7737;Ceara;Amarelo;Rodrigo Lindoso;Meio-campo;66
13512;7737;Ceara;Amarelo;Nino Para°ba;Zagueiro;45+4
13513;7738;Juventude;Amarelo;Jean Carlos de Souza Irmer;Meio-campo;36
13514;7738;Athletico-PR;Amarelo;Bento Matheus Krepski;Goleiro;73
13515;7738;Athletico-PR;Amarelo;Pablo Felipe Teixeira;Atacante;20
13516;7739;Avai;Amarelo;GlÇdson Ribeiro dos Santos;Goleiro;65
13517;7739;Avai;Amarelo;Diego Matos;Zagueiro;39
13518;7740;Bragantino;Amarelo;HÇlio Junio Nunes de Castro;Meio-campo;9
13519;7740;Flamengo;Amarelo;Willian Ar∆o;Meio-campo;83
13520;7740;Flamengo;Amarelo;L†zaro Vin°cius;Meio-campo;32
13521;7741;Fluminense;Amarelo;Paulo Henrique Ganso;Meio-campo;71
13522;7741;Atletico-MG;Amarelo;Allan Rodrigues de Souza;Meio-campo;83
13523;7741;Atletico-MG;Amarelo;Nathanael Ananias da Silva;Zagueiro;41
13524;7742;Santos;Amarelo;Madson;Zagueiro;52
13525;7740;Bragantino;Vermelho;Luan CÉndido;Zagueiro;70
13526;7737;America-MG;Amarelo;Felipe Azevedo;Meio-campo;43
13527;7737;Ceara;Amarelo;Richardson Fernandes dos Santos;Meio-campo;49
13528;7738;Juventude;Amarelo;Rìmulo Zwarg;Meio-campo;76
